KR0008	􁀙
[土*(厂-一)*(乞-乙+〡)]	􄢸
[土*(厂@千)]	􄵐
[土*(厂@干)]	􃜺
[土*(厂@火)]	􅒽
[土*(囚/山)]	􃠟
[土*(固-十+儿)]	􅥋
[土*(土/異)]	􃧳
[土*(圭/皿)]	􄉣
[土*(坐-工+皿)]	􄉤
[土*(壴-士+山)]	􂾶
[土*(宋-木+(且/八))]	􄰵
[土*(宭-尹+工)]	􄮩
[土*(崋-山+甲)]	􅮹
[土*(巫-┬+了)]	􄦗
[土*(常-吊+子)]	􄐽
[土*(庴-日+(亦-〦))]	􅘞
[土*(恙-心+皿)]	􅥊
[土*(惎-八)]	􄺉
[土*(止/止)]	􅈖
[土*(止/貝)]	􄝘
[土*(溼-(泳-永))]	􄸎
[土*(犮-乂+又)]	􃦨
[土*(瓦-(百-日))]	􄡛
[土*(穴/?/ㄆ)]	􃊽
[土*(米/世/木)]	􃬌
[土*(米/井)]	􃬋
[土*(而/火)]	􃙑
[土*(舉-與+山)]	􃭫
[土*(色-巴+田)]	􄱒
[土*(虍-七+子)]	􃎳
[土*(虒-儿+巾)]	􂉆
[土*(衣/十)]	􂅔
[土*(覽-(罩-卓))]	􄓏
[土*(阜-十+廾)]	􄳴
[土*(顯-頁)]	􅂰
[土*(鹽-鹵+田)]	􄑟
[土*(鼻-丌+廾)]	􃂀
[土*井]	􅈠
[土*亟]	􄐅
[土*亦]	􂪆
[土*伯]	􃔮
[土*候]	􂅩
[土*兄]	􃋖
[土*免]	􂮸
[土*其]	􅄄
[土*冊]	􂎝
[土*几]	􅤹
[土*凡]	􄗺
[土*勾]	􅝣
[土*匕]	􃲀
[土*卬]	􅙤
[土*厘]	􂇩
[土*受]	􄴛
[土*句]	􄶠
[土*否]	􂌚
[土*吳]	􂩏
[土*周]	􂧆
[土*咠]	􃣞
[土*哏]	􂝣
[土*喿]	􅝛
[土*土]	􂭎
[土*坐]	􃚶
[土*基]	􃊺
[土*夕*ㄗ]	􂮀
[土*夜]	􄂳
[土*夭]	􄈜
[土*奢]	􃋜
[土*孕]	􃞜
[土*家]	􄪮
[土*寘]	􄦎
[土*寺]	􂀁
[土*封]	􅂱
[土*崖]	􄌓
[土*巠]	􃤍
[土*巨]	􄬿
[土*巴]	􃒶
[土*市]	􅗙
[土*帝]	􂋏
[土*席]	􃾬
[土*干]	􂐓
[土*廓]	􅰈
[土*彔]	􃌪
[土*憂]	􂩩
[土*戲]	􃗇
[土*昏]	􅓯
[土*晏]	􅅬
[土*替]	􄉼
[土*未]	􂋞
[土*末]	􅥌
[土*此]	􂒜
[土*灰]	􄵑
[土*焦]	􃁘
[土*爰]	􄵾
[土*片]	􄗕
[土*甲]	􄚇
[土*畢]	􅐺
[土*疾]	􂭾
[土*睿]	􂒌
[土*示]	􃔕
[土*祭]	􂞅
[土*窖]	􄺛
[土*累]	􄺴
[土*缶]	􂉀
[土*罔]	􅠈
[土*義]	􄼷
[土*翕]	􂦓
[土*胃]	􅎔
[土*臺]	􄵽
[土*舌]	􄌰
[土*蒙]	􂻳
[土*藂]	􂔂
[土*虎]	􄿨
[土*衰]	􃤒
[土*見]	􅄻
[土*豕]	􂡖
[土*辱]	􅄎
[土*適]	􃁆
[土*遲]	􂫮
[土*雩]	􃘩
[土*雽]	􃛨
[土*面]	􂠌
[土*頁]	􂏓
[土*黽]	􃘥
[土*齊]	􄻔
[土/(冗-几+手)]	􄜬
[土/(冗-几+牛)]	􄜟
[土/(囗@亞)]	􅗥
[土/(宋-木+羊)]	􄙏
[土/(常-吊+半)]	􃞑
[土/?]	􄺔
[土/　]	􃁴
[土/木]	􄡩
[土/田/一/六]	􄧳
[土/皿]	􅓬
[土/而]	􃧧
[土/衣]	􄻴
[土/軍]	􃒢
[土/隹]	􄞾
[土/隻]	􅀼
[土/黽]	􅐻
[圣*刀]	􄧈
[圪-乙+((囗@必)/皿)]	􄸄
[圪-乙+(十-〡+(凡@、))]	􄏽
[圪-乙+(十-〡+凡)]	􄘕
[圪-乙+(舟-(白-日))]	􄏾
[圪-乙+小]	􃓧
[圭*丸]	􄫹
[圭*頁]	􅝌
[圯/土]	􄔽
[均-二+(卸-ㄗ)]	􄕥
[坐*委]	􂮣
[坐*見]	􅣜
[坐-土+木]	􁾀
[坐-工+大]	􄤺
[坑-几+(朔-月)]	􃳠
[坑-几+品]	􂈣
[坡-支+(王/用)]	􃡍
[坦-一+〦]	􅋸
[坦-一+工]	􂯕
[坦-日+弓]	􄎧
[坫-口+乙]	􃛃
[坭-匕+(朔-月)]	􃴸
[坭-匕+(羊-十)]	􅥉
[坭-匕+半]	􅥇
[坭-匕+辛]	􅥆
[坭/土]	􅥍
[坴*(夕/火)]	􃾖
[垂*夫]	􃰭
[垂-(乏-之)+廿]	􃮆
[垂-一]	􄙸
[垛-几+九]	􄷙
[垝-厄+(冗-几+巾)]	􃦴
[垠/土]	􄵊
[垢-口+十]	􄹉
[垢-口+巾]	􄋆
[垢-口+巿]	􄃟
[垣-土+示]	􃌊
[垣-旦+(ㄠ-、)]	􂕤
[埁-今+(歹*ㄆ)]	􃼆
[埁-今+(歹*戈)]	􃼅
[埃-矢+月]	􃥃
[埇-(、/用)+(刃/一)]	􄐚
[埥-月+(面-(百-日))]	􅤾
[埶/乃]	􄡍
[埶/又]	􄰈
[埶/土]	􂂉
[埶/大]	􄵷
[埶/文]	􅒝
[執/ㄊ]	􅣻
[執/二]	􃸇
[執/云]	􅛸
[執/土]	􂄖
[執/巾]	􄰉
[執/文]	􃛒
[執/月]	􅕱
[執/水]	􄵁
[培-土+(千/止)]	􅆀
[培-土+(午/止)]	􅣲
[培-土+片]	􅅷
[堂-(口/土)+肖]	􅐦
[堂-土+((口@〡)/┴)]	􂋃
[堂-土+兀]	􄈾
[堂-土+子]	􄅸
[堂-土+里]	􄓸
[堅-土+(〦/?)]	􃨷
[堅-臣+(虍-七+(一/谷))]	􃌠
[堆/十]	􃰶
[堊-王]	􄂷
[堐-圭+(土/回)]	􄉑
[堐-圭+(烈-列+里)]	􄉓
[堐-圭+(里/八/土)]	􄉖
[堐-圭+并]	􄼌
[堛-田+ㄆ]	􂧨
[堞-世+(世-廿+卄)]	􃔟
[堞-世+廿]	􅥂
[堯*ㄆ]	􃕹
[堽-正+山]	􄼼
[堽-正+止]	􃝛
[塉-月+日]	􄁈
[塉-月+目]	􂆵
[塌-羽+于]	􂰥
[塏-山+止]	􅥅
[塚-豖+(一/旦)]	􃸪
[塚-豖+(一/豖)]	􂥁
[塚-豖+(舟-(白-日))]	􄔱
[塚-豖+凡]	􃒈
[塚-豖+豕]	􂓼
[塞-土+(匚@一)]	􅓉
[塞-土+(念-(企-止))]	􃨸
[塞-土+乞]	􄱏
[塞-土+了]	􃪎
[塞-土+永]	􃞰
[塵-土+(京-口+日)]	􃝝
[塵-土+(土/(八@(戉-戈)))]	􃫌
[塵-土+亡]	􃘜
[塵-土+共]	􂂖
[塵-土+圂]	􅑌
[塵-土+次]	􂩁
[塵-土+盲]	􂹍
[塵-土+虫]	􂩀
[塵-土+角]	􂒹
[塵-土+魚]	􃿢
[塽-(爻*爻)+((人/人)*(人/人))]	􂖘
[墓-旲+汜]	􂎠
[墦-釆+(乞-乙+口)]	􂙱
[墩-享+孛]	􂡻
[墫-酋+(十/田)]	􅇃
[墫-酋+(甫-、)]	􄉊
[墼-殳+瓦]	􃽚
[墾-艮+白]	􃟸
[壑-土+丘]	􂗓
[壑-土+口]	􃤈
[壓-(日/月)+(甘/肉)]	􃪝
[壓-猒+(邱-丘+黑)]	􂸪
[壓-猒+黑]	􄩈
[壖-而+(丘-(白-日))]	􅤽
[壙-黃+((乏-之+土)/回)]	􂞡
[壙-黃+(干/皿)]	􄊇
[壙-黃+(王/回)]	􄉷
[壙-黃+干]	􃜹
[士/(同-口)]	􃦒
[士/(固-十+儿)]	􃴕
[士/巾]	􂮈
[士/示]	􄅿
[壴*(屮/又)]	􄥢
[壴*(山/久)]	􅁣
[壴*丕]	􅝶
[壴*頁]	􂭲
[壴*風]	􄲈
[壴-士+止]	􂸳
[壹*(支/早)]	􂔭
[壹*(皮/?)]	􂔯
[壹*丕]	􂐋
[壹*乘]	􃤛
[壹-豆+((夕*匕)/土)]	􃛐
[壹-豆+((歹*匕)/土)]	􃕝
[壹-豆+(乏-之+虫)]	􄐭
[壹-豆+(井/一)]	􅘭
[壹-豆+(兀/牛)]	􂧿
[壹-豆+(加/力)]	􂟟
[壹-豆+(口*毛)]	􂂎
[壹-豆+(夗/木)]	􃌔
[壹-豆+(石/砳)]	􅞷
[壹-豆+(石/虫)]	􅥢
[壹-豆+磊]	􃗪
[壹-豆+至]	􄕉
[壹-豆+虫]	􅌆
[壺*(十/卄/木)]	􅨉
[壺-(冗-几+一)]	􅉏
[壺-亞+?]	􅉐
[壽*月]	􃵕
[壽/心]	􃘪
[夌-土+(十/田)]	􅙚
[夌-土+由]	􄷝
[夏*番]	􄥤
[夏-攵+介]	􂀳
[夕*(十+、)]	􃞍
[夕*(尤-尢+木)]	􄚛
[夕*├]	􄮍
[夕*〡*ㄑ]	􅬣
[夕*ㄙ*ㄙ]	􂢢
[夕*上*ㄗ]	􅂃
[夕*人]	􄉕
[夕*印]	􄦑
[夕*又]	􅔋
[夕*口]	􄭏
[夕*多]	􄒬
[夕*巴]	􃱑
[夕*火]	􅃊
[夕*牙]	􂊝
[夕/(鹿-比+(ㄙ*ㄙ))]	􄾇
[夕/一/丑/(烈-列)]	􃕔
[夕/一]	􄨗
[夕/有]	􃧄
[夕/肉]	􂐎
[夕/軍]	􃆭
[夕/鹿]	􂕯
[外-〡+十]	􃳡
[外/曰]	􂖇
[夗*鳥]	􄋨
[夗-夕+月]	􃥗
[夗/旦]	􃸫
[夙-歹+(貞-八+一)]	􃘍
[夙-歹+ㄙ]	􁊨
[夙-歹+十]	􅰁
[夙-歹+熏]	􃊥
[多*(亥-人+(火-(班-玨)))]	􃔌
[多*(厂@火)]	􃔏
[多*(口/└/月)]	􅃃
[多*來]	􂠲
[多*各]	􅣺
[多*坴]	􃶠
[多*灰]	􃚾
[多*番]	􃖥
[多*谷]	􅨜
[多*音]	􄬅
[多/寸]	􂟚
[多/旦]	􂀹
[多]	􅮋
[多少分明@○]	􁻡
[夢-夕+((歹-、)*戈)]	􅘡
[夢-夕+(夕*戈)]	􄏷
[夢-夕+(心/ㄆ)]	􃿸
[夢-夕+(必/又)]	􃩠
[夢-夕+(歹*戈)]	􄒆
[夢-夕+(王-十+卄)]	􅖽
[夢-夕+且]	􄟥
[夢-夕+几]	􄛄
[夢-夕+又]	􄧏
[夢-夕+弓]	􄭯
[夢-夕+悎]	􄔪
[夢-夕+悟]	􄑡
[夢-夕+戍]	􃤠
[夢-夕+成]	􄊾
[夢-夕+方]	􄟍
[夢-夕+月]	􄳸
[夢-夕+棐]	􂗤
[夢-夕+疋]	􄅘
[夢-夕+登]	􁞽
[大-一+(土*土)]	􄃼
[大/(乏-之+丁)]	􅊨
[大/(口*口)/(匚@一)]	􄝀
[大/(斲-斤)]	􃶃
[大/(曲-曰+ㄇ)/亞]	􃶄
[大/(牛/牪)]	􄴧
[大/?/女]	􃎴
[大/刀]	􄈨
[大/又]	􃵃
[大/口]	􄍬
[大/干]	􁽲
[大/旦]	􅕨
[大/氏]	􂀼
[大/火/土]	􃸨
[大/王]	􂐜
[大/目]	􅢜
[大/矢]	􄡫
[大/糸]	􃥀
[大/長]	􅆴
[大/馬]	􄡉
[大@于]	􅏧
[大清順治皇帝二年乙酉]	􃅧
[大觀元年丁亥]	􂶋
[天/一/口]	􂓵
[天/山]	􂱓
[天/皿]	􂩛
[天啟元年辛酉]	􃅊
[天禧元年]	􅯎
[天聖元年]	􅯜
[太/子]	􄃉
[太上洞玄靈寶延生度命金籙]	􂃺
[夫*頁]	􅞶
[夫@(十/果)]	􂮱
[夭/(甲-田+口)]	􂣖
[夭/(目*月)]	􃨧
[夭/口/?]	􄇈
[夭/明]	􂍴
[夭/目]	􂀿
[央-八+(衣-〦)]	􄯌
[央-大+(⊥/ㄅ)]	􃩦
[央/凡]	􄺿
[央/日]	􃥄
[央/月]	􃤳
[央/畏]	􄥀
[央/貝]	􃿏
[央/馬]	􄤰
[失*刀]	􅉕
[失*見]	􂭦
[失*隹]	􄖚
[失*頁]	􅇚
[失/(衣-亠)]	􁼛
[失/舊]	􄒰
[失/虫]	􅗪
[夸*(脈-月)]	􄹂
[夸-大]	􄗢
[夾/ㄙ]	􅭟
[夾/回]	􃩍
[夾/皿]	􄁠
[奄-大+與]	􃍤
[奐*毛]	􅢼
[奐-(色-巴)+├]	􃁙
[奐-大+((〡*目)/一/乂)]	􄄃
[奐-大+友]	􅨞
[奐-大+比]	􂵖
[契-大+云]	􃹵
[套-大+人]	􄚞
[奚*頁]	􅉝
[奚*鼠]	􄕳
[奚-ㄠ+王]	􅒌
[奠*犬]	􄨍
[奢*多]	􂑚
[奩-品+一]	􅏠
[奮-田+(〡*日)]	􅎎
[奮-田+皿]	􄟻
[女*((前-刖)/八/言)]	􅇅
[女*(、廾、、、、)]	􅘯
[女*(〦/(口*口)/(匚@一))]	􅝭
[女*(中/ㄅ)]	􅢎
[女*(中/又)]	􅉖
[女*(乏-之+(((嘹-口)-小)-日+手))]	􃬤
[女*(乏-之+犬)]	􅍳
[女*(乞-乙+夭)]	􄷈
[女*(乞-乙+小)]	􂛲
[女*(乞-乙+尼)]	􂿳
[女*(厂@干)]	􄷿
[女*(口/口)*辛]	􃁛
[女*(喜/心)]	􅢐
[女*(宜/八)]	􄻷
[女*(宴-女+六)]	􄻸
[女*(巢-果+(一/凶))]	􃶊
[女*(巢-果+(离-禸))]	􂪯
[女*(巢-果+山)]	􃛕
[女*(巢-果/(巢-果))]	􄴞
[女*(止/示)*頁]	􃫹
[女*(犀-牛+干)]	􂙊
[女*(犮-乂+又)]	􂇸
[女*(而/火)]	􄎀
[女*(舉-與)]	􄍁
[女*(色-巴+(〡*日))]	􄘱
[女*(電-雨+大)]	􅓥
[女*〡*(耜-耒)]	􅁇
[女*九]	􃷞
[女*亟]	􅂌
[女*亡]	􂐯
[女*似]	􄰒
[女*光]	􅔸
[女*冗]	􅢒
[女*出]	􄰻
[女*力]	􃾫
[女*卜]	􂄐
[女*厭]	􂤲
[女*厲]	􃦃
[女*友]	􄯇
[女*咨]	􄡑
[女*回]	􃛆
[女*圣]	􂖿
[女*坐]	􅜹
[女*墮]	􄦈
[女*妻]	􅁶
[女*妾]	􅅐
[女*宇]	􄄕
[女*宜]	􅋇
[女*廧]	􅝺
[女*弓]	􂬻
[女*引]	􄠡
[女*彔]	􅜝
[女*忌]	􄿺
[女*忿]	􂟍
[女*惢]	􄰼
[女*慝]	􅢍
[女*戒]	􂋈
[女*戚]	􅢏
[女*曹]	􃖮
[女*樂]	􃕲
[女*烏]	􅑠
[女*狂]	􅆗
[女*王]	􄜯
[女*甲]	􃻇
[女*男*攵]	􂅄
[女*甾]	􂑼
[女*直]	􂁇
[女*省]	􁕞
[女*絰]	􃑩
[女*羍]	􄅍
[女*耶]	􂑜
[女*聚]	􂦛
[女*育]	􄍔
[女*舅]	􂥌
[女*色]	􄱙
[女*芙]	􂫅
[女*荒]	􅆡
[女*蓐]	􅢕
[女*虫]	􂒙
[女*血]	􂫍
[女*詹]	􅢑
[女*豆]	􅝝
[女*贊]	􅑭
[女*赤]	􂠓
[女*辟]	􄬪
[女*連]	􅖇
[女*酉]	􃇯
[女*開]	􃓯
[奴/(百-日+ㄎ)]	􂴙
[奴/奈]	􂟬
[奴/女]	􂛻
[奴/日]	􃛁
[奴/聿]	􅌸
[奸/心]	􄉘
[如/弓]	􄏨
[如/王]	􄵬
[妖-大+(犮-、)]	􅢌
[妧-二+公]	􂜹
[妳-女+口]	􂓎
[妻-女+水]	􄳖
[妻-女]	􃯋
[姊-女+臼]	􄹆
[始/土]	􃺱
[始/生]	􄱻
[姑-口+(田/日)]	􅢔
[委*占]	􂯶
[委*鳥]	􄢐
[姬-女+糸]	􂩍
[威-女+少]	􃧯
[威/心]	􂌁
[娕*頁]	􅮏
[娖-口+田]	􂐇
[娟-口+日]	􂒼
[娭-矢+天]	􄛙
[娾-圭+(夾/二/回)]	􄇸
[婁*几]	􄞟
[婁*凡]	􃔽
[婁*姿]	􃊚
[婁*支]	􄘜
[婁*木]	􅕖
[婁*殳]	􂐴
[婁*羽]	􅣓
[婁*見]	􅙾
[婌-叔+(、廾八、、)]	􅢓
[婬-壬+(工/山)]	􂎅
[婬-壬+工]	􄋵
[婬-女+酉]	􂥑
[婺-女+(厂@女)]	􂱯
[婺-矛+牙]	􁁪
[媋-日+(奄-大)]	􂟵
[媏-而+虫]	􂐻
[媏-而+頁]	􃨖
[媟-世+ㄊ]	􄠐
[媟-木+未]	􃸜
[媥-戶+合]	􂜴
[媲-囟+(色-巴+囚)]	􂉶
[媲-女+木]	􃖉
[媲-比+心]	􄈛
[嫘-糸+尒]	􄦀
[嫟/心]	􃘂
[嫪-(彰-章)+小]	􃡠
[嫻-木+(古/小)]	􃎦
[嬗-旦+示]	􂨚
[嬚-兼+(夾/二/回)]	􄇹
[嬰*(凡@、)]	􄠘
[嬰*(瓦-(百-日))]	􄯛
[嬰*瓦]	􂪟
[嬴-口+(罩-卓)]	􅝗
[子*(舄-臼+(十/曰))]	􅨂
[子*介]	􅃮
[子*昜]	􂘑
[孑*(十/田/ㄅ)]	􂛸
[孑*(彥-文+(立-一))]	􄆶
[孑*(焉-正+?)]	􁅈
[孑*(舄-臼+(十/日))]	􄚓
[孑*(舄-臼+(十/田))]	􂤃
[孑*中]	􂭴
[孑*介]	􄎟
[孑*令]	􃟕
[孑*凡]	􂮲
[孑*台]	􄟮
[孑*巢]	􄾋
[孑*希]	􃋶
[孑*爪]	􄷟
[孑*豕]	􅔴
[孑*鳥]	􂵢
[孑-了]	􂑿
[孕-子+(一/火)]	􂨴
[孕-子+(舉-與)]	􄋲
[孕-子+旲]	􄈞
[孚*孚]	􄡷
[孚*比]	􂥶
[孚*童]	􂊉
[孚*虎]	􅦛
[孛-子+((臼@〡)/六)]	􃼾
[孛-子+(巾/貝)]	􃪫
[孛-子+手]	􄗳
[孛-子+木]	􄏑
[孛-子+牟]	􂕳
[孛-子+貝]	􅢨
[孛-子]	􃳦
[孝-子+ㄙ]	􅛼
[孝-子+巾]	􄌪
[孝-子+弓]	􅣂
[孝-子]	􄠂
[孝/友]	􃀨
[孝宗皇帝隆興元年癸未]	􂷼
[孰/曰]	􄰮
[孰/火]	􄓞
[學*力]	􅔠
[學*殳]	􂗵
[學-子+仔]	􄊥
[學-子+氐]	􅠘
[學-子+禺]	􃑼
[學-子+車]	􃋪
[宀/三]	􂂪
[宀/鼠]	􂁰
[宅*頁]	􃧌
[宇-丁+(天/心)]	􂯳
[守/(曰/小)]	􄽆
[守/貝]	􅉺
[安*殳]	􂩱
[安/卑]	􃼇
[安/黃]	􃻈
[宋-?]	􂋲
[宋-木+(((素-糸)*刃)/廾)]	􃝏
[宋-木+((〡*日)/六)]	􄽣
[宋-木+((冰-水+〡)*(口/又))]	􄐂
[宋-木+((最-曰)-又+ㄑ)]	􃀏
[宋-木+((栗-木+土)*欠)]	􃨰
[宋-木+(?/大)]	􃿫
[宋-木+(?/屮)]	􄂬
[宋-木+(ㄠ*刀)]	􄓿
[宋-木+(一/(┤*十*├)/┬)]	􃭊
[宋-木+(三/日)]	􂩒
[宋-木+(乏-之+(犮-乂+又))]	􅭨
[宋-木+(乏-之+犬)]	􄡯
[宋-木+(十/且)]	􅈪
[宋-木+(十/日/小)]	􄸗
[宋-木+(千*禺)]	􄭨
[宋-木+(卄/目/八)]	􄖹
[宋-木+(口/(罩-卓+(電-雨)))]	􄹅
[宋-木+(口/牙)]	􄟈
[宋-木+(夆-┬+下)]	􃫴
[宋-木+(夕*ㄗ)]	􅪫
[宋-木+(夗/皿)]	􅪬
[宋-木+(奄-大)]	􃞿
[宋-木+(小/(婁-十+┴))]	􄗠
[宋-木+(少-小+正)]	􃫁
[宋-木+(少/日/小)]	􄗏
[宋-木+(屯-凵+臼)]	􅑈
[宋-木+(徭-彳)]	􂥩
[宋-木+(怨-(夗-夕)+匕)]	􅊋
[宋-木+(扃-戶+右)]	􃟘
[宋-木+(文/韋)]	􃪛
[宋-木+(日/工)]	􅞸
[宋-木+(止/少)]	􂝴
[宋-木+(死/心)]	􅟒
[宋-木+(死/皿)]	􅑦
[宋-木+(死/虫)]	􅒙
[宋-木+(泳-永+(弓*口))]	􄼮
[宋-木+(火/几)]	􅪲
[宋-木+(烈-列+(十/目))]	􄭾
[宋-木+(烈-列+百)]	􄸟
[宋-木+(爪*爪)]	􂘘
[宋-木+(牛*尼)]	􅊸
[宋-木+(瓜-、)]	􅪳
[宋-木+(癸-天+又)]	􃲲
[宋-木+(癸-天+言)]	􃋑
[宋-木+(登-豆+三)]	􅪵
[宋-木+(登-豆+出)]	􂹧
[宋-木+(白-日+口)]	􂦢
[宋-木+(百/小)]	􄸠
[宋-木+(示*(色-巴+(鹵-├))/工)]	􄆐
[宋-木+(禾*(夢-夕+ㄆ))]	􃴹
[宋-木+(立/口)]	􅕰
[宋-木+(紿-口+月)]	􄫸
[宋-木+(美-((王/大)/目))]	􅀬
[宋-木+(羽/木)]	􂉝
[宋-木+(衣/十)]	􃘽
[宋-木+(身*ㄆ)]	􅊏
[宋-木+(辛-二+三)]	􄷧
[宋-木+(采-木+(工/山))]	􅪰
[宋-木+(隆-生+正)]	􅪪
[宋-木+ㄎ]	􂭅
[宋-木+久]	􅋝
[宋-木+乎]	􄗣
[宋-木+俱]	􄑱
[宋-木+偶]	􅁰
[宋-木+儿]	􂕷
[宋-木+兒]	􅪴
[宋-木+兵]	􃘾
[宋-木+具]	􂖒
[宋-木+利]	􅘙
[宋-木+到]	􂖷
[宋-木+午]	􃶧
[宋-木+卓]	􂌢
[宋-木+原]	􃮇
[宋-木+合]	􅪭
[宋-木+吉]	􄦉
[宋-木+告]	􄌫
[宋-木+單]	􄺚
[宋-木+多]	􅝦
[宋-木+尢]	􅗞
[宋-木+尤]	􂁔
[宋-木+屈]	􂿄
[宋-木+巠]	􃤅
[宋-木+巢]	􂢺
[宋-木+幻]	􄕟
[宋-木+弓]	􅎺
[宋-木+引]	􄗎
[宋-木+弟]	􃕠
[宋-木+恄]	􄪷
[宋-木+恰]	􃿜
[宋-木+悎]	􂒽
[宋-木+戈]	􂌣
[宋-木+拾]	􃝪
[宋-木+攷]	􂾭
[宋-木+最]	􃏌
[宋-木+條]	􅑤
[宋-木+止]	􄃇
[宋-木+泓]	􅪮
[宋-木+注]	􃉮
[宋-木+焚]	􃟢
[宋-木+牙]	􂡇
[宋-木+畢]	􅔟
[宋-木+省]	􅜀
[宋-木+祋]	􃯂
[宋-木+緩]	􄁲
[宋-木+羔]	􃓍
[宋-木+老]	􃕭
[宋-木+聶]	􅑨
[宋-木+胃]	􄌎
[宋-木+臬]	􅪨
[宋-木+臾]	􃺜
[宋-木+舌]	􄜫
[宋-木+衣]	􅟋
[宋-木+視]	􄨓
[宋-木+貴]	􄔐
[宋-木+身]	􄨠
[宋-木+阜]	􃼒
[宋-木+鬼]	􂭢
[宋-木+鳥]	􅪱
[宋-木+齊]	􅁕
[宋-木+龜]	􄽾
[完-二+公]	􃸤
[完-兀+(企-止+目)]	􃐧
[完-兀+(直-十)]	􄭽
[完-兀+平]	􅔪
[完-兀+羽]	􃸿
[宎-大+犬]	􄎲
[宎-大+犮]	􄟿
[宏-ヽ]	􁽎
[宒/(毛*毛)]	􅪧
[宓/(乏-之+土)]	􂛨
[宓/具]	􄬀
[宗-小+(罩-卓+(電-雨))]	􄽉
[宛/皿]	􃖓
[宜*以]	􂝝
[宜*我]	􂝡
[宣和元年已亥]	􂶣
[宥*(已/又)]	􄨟
[宭-尹+土]	􄢄
[害*ㄆ]	􃕺
[害*各]	􃸓
[害*巠]	􂉡
[害*空]	􂍻
[宴*鳥]	􃊔
[宴-女+七]	􂩓
[宴-女+六]	􂊆
[宴-女+夰]	􂀗
[家-?]	􃫖
[容*各]	􃎞
[容-口+夕]	􂙐
[容/口]	􃺯
[宿-百+(囟-乂+又)]	􃿼
[宿-百+旲]	􂉢
[寀-木+犮]	􄩨
[寄-可]	􂏏
[寇-(敲-高)+(口/又)]	􅐱
[寍-皿+(蠢-春+(立*立))]	􂙖
[寐-未+(朕-月)]	􅪩
[寐-未+倉]	􃪰
[寓/心]	􅙬
[察-示+言]	􂍤
[寡*刂]	􁼄
[寢-爿+(攸-ㄆ)]	􂐐
[寤-吾+告]	􂆸
[實-毌+(少-小+正)]	􃫂
[實-貝+心]	􃞤
[寧*(尤-尢+曳)]	􂰖
[寧*(焉-正)]	􂣦
[寧*丘]	􅰫
[寧*也]	􂉂
[寧*互]	􄝑
[寧*各]	􂒔
[寧*夜]	􂚆
[寧*委]	􂣣
[寧*孕]	􂚸
[寧*心]	􂟱
[寧*立]	􂜰
[寧*頂]	􂪸
[將/吹]	􃙵
[將/女]	􂰫
[將/食]	􁼜
[專*(凡@、)]	􄔻
[專-寸+瓦]	􃙦
[專-寸+疋]	􃚖
[小-(丁-一)+了]	􅬛
[小/乃]	􄒚
[小/日/小]	􃓐
[少/(免-(色-巴)+(白-日))]	􄰴
[少/(免-(色-巴)+(美-(王/大)))]	􄟗
[少/(免-(色-巴)+ㄒ)]	􅑕
[少/(兔-、)]	􄥫
[少/乃]	􄬖
[少/免]	􂖗
[少/勉]	􄖡
[尒*目]	􂔉
[尒/口]	􂻍
[尚*又]	􃯾
[尚*支]	􃔇
[尚*毛]	􂥳
[尚*頁]	􄝌
[尢*鳥]	􅑅
[尤*鳥]	􅥿
[尤-尢+乇]	􃊰
[尤-尢+舐]	􅅒
[尨-尤+尢]	􅬓
[尬-介+(二/(必-心))]	􂘅
[尬-介+安]	􃼍
[就*鳥]	􅘏
[就/土]	􂲲
[就/虫]	􂭗
[就/貝]	􄫪
[尸/技]	􂁼
[尸/雲]	􂁈
[尸@((一*一)/(牙-才+(舉-與)))]	􅧶
[尸@((一*一)/干)]	􅧵
[尸@((二*人)/?)]	􂇮
[尸@((冰-水+〡)*甫)]	􄑞
[尸@((冰-水+〡)*雨)]	􄻶
[尸@((坐-土)/失)]	􅈼
[尸@(?/乙)]	􂒲
[尸@(ㄊ/木)]	􄆗
[尸@(ㄙ/天)]	􄡚
[尸@(一/八/儿)]	􂊶
[尸@(一/八/毛)]	􄉽
[尸@(一/小)]	􂭄
[尸@(乏-之+夫)]	􅀭
[尸@(乖-北+(凵@(人*人)))]	􃶬
[尸@(二/水)]	􂱘
[尸@(仁-二+(大/木))]	􅙣
[尸@(兆-((冰-水)*(厂-一))+(彳-〡))]	􂣒
[尸@(力/口)]	􅅉
[尸@(尸@且)]	􃳭
[尸@(巢-果+大)]	􅈻
[尸@(巢-果+水)]	􃞙
[尸@(巢-果+矢)]	􅈘
[尸@(弓*(乞-乙+小))]	􄐧
[尸@(敲-高)]	􄵣
[尸@(敲-高+爿)]	􅧬
[尸@(林/呂)]	􃊨
[尸@(棄-ㄊ)]	􂕇
[尸@(水/水)]	􃧉
[尸@(泳-永+矢)]	􄋾
[尸@(溧-木+土)]	􂈁
[尸@(炎/大)]	􄿉
[尸@(皂*旡)]	􄃃
[尸@(米*矢)]	􄀚
[尸@(糸-?)]	􃪠
[尸@世]	􅒬
[尸@丰]	􄉗
[尸@串]	􃎬
[尸@主]	􅂁
[尸@乙]	􃈬
[尸@于]	􄘋
[尸@亞]	􅈭
[尸@兩]	􄃽
[尸@則]	􅭐
[尸@半]	􄛿
[尸@可]	􅒓
[尸@向]	􅧷
[尸@喬]	􃐹
[尸@地]	􂞴
[尸@坐]	􃆃
